,id,address,date,cause,longitude,latitude,done
8,3101010200700191,南京东路外滩,2007-06-29 00:45:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.4793904207005,31.240344195700015,1
69,3101010200700919,国货路、南京东路,2007-07-15 22:20:00.0,上海市公安局黄浦分局交通警察支队机动责任区,121.47915913391535,31.239069200609805,1
135,3101010200701618,河南中路、南京东路,2007-07-31 11:05:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
144,3101010200701676,南京东路、中山东一路,2007-07-31 16:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
204,3101010200702278,中山东一路、南京东路,2007-08-16 13:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
256,3101010200702921,中山东一路、南京东路,2007-08-30 21:30:00.0,上海市公安局黄浦分局交通警察支队机动责任区,121.48581289794502,31.23900747487284,1
259,3101010200702929,南京东路、浙江中路,2007-08-29 07:10:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47423270701847,31.236566093075147,1
361,3101010200704020,南京东路世茂望家艾美酒店停车库,2007-09-20 23:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47158019679527,31.236439678232042,1
371,3101010200704108,南京东路201号,2007-09-25 14:25:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48150312968048,31.23971745961372,1
552,3101010200706376,南京东路61号,2007-11-14 16:20:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48412478471208,31.240492890479565,1
640,3101010200707527,南京东路288号内,2007-12-09 19:15:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48004766179992,31.23897880188595,1
671,3101010200707764,中山东一路近南京东路,2007-12-04 15:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
675,3101010200707877,福建中路、南京东路,2007-12-20 22:20:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
786,3101010200800755,福建中路近南京东路,2008-01-07 12:20:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.47915913391535,31.239069200609805,1
811,3101010200800932,南京东路299号地库,2008-01-12 16:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48009475922031,31.239209838349556,1
862,3101010200801417,南京东路69弄口,2008-01-23 13:00:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48390384130536,31.240566397099826,1
995,3101010200802599,南京东路80号,2008-02-25 00:08:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.4836550746193,31.24075042362772,1
1004,3101010200802635,南京东路近中山东一路,2008-02-25 17:50:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
1044,3101010200803075,中山东一路近南京东路,2008-01-30 01:04:00.0,上海市公安局黄浦分局交通警察支队事故违章审理科,121.48581289794502,31.23900747487284,1
